Prefill,Decode,Conc,Num Prompts,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
4096,1024,64,256,184.69,1048576.0,262144.0,1.4,1433.22,2871.0,7166.09,3219.11,889.71,18354.82,41.74,38.66,53.31,41.74,23.48,152.35
16384,1024,64,128,270.75,2097152.0,131072.0,0.47,484.1,1408.0,8229.75,26287.6,3928.29,97112.78,103.57,119.36,125.96,103.57,46.87,251.71
