Prefill,Decode,Conc,Num Prompts,Successful Requests,Run Status,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
4096,1024,64,256,256.0,SUCCESS,164.99,1048576.0,262144.0,1.55,1588.88,2880.0,7944.4,3408.8,885.99,19809.69,36.7,38.62,39.21,36.7,23.42,153.05
4096,1024,64,256,256.0,SUCCESS,182.89,1048576.0,262144.0,1.4,1433.31,2880.0,7166.56,3224.29,887.35,18230.33,41.3,38.72,57.43,41.3,23.44,152.39
4096,1024,64,256,256.0,SUCCESS,163.33,1048576.0,262144.0,1.57,1605.05,2879.0,8025.23,3122.31,891.46,18395.45,36.61,38.47,38.86,36.61,23.48,152.49
4096,1024,64,256,256.0,SUCCESS,207.84,1048576.0,262144.0,1.23,1261.3,2854.0,6306.48,3310.73,890.32,18438.67,47.3,38.78,63.63,47.3,23.51,152.16
16384,1024,64,128,128.0,SUCCESS,268.67,2097152.0,131072.0,0.48,487.85,1408.0,8293.44,25931.06,3919.24,95887.97,102.9,118.3,125.14,102.9,46.83,250.04
16384,1024,64,128,128.0,SUCCESS,270.55,2097152.0,131072.0,0.47,484.46,1408.0,8235.8,26206.21,3935.32,96948.0,103.55,119.28,125.94,103.55,46.83,251.82
16384,1024,64,128,128.0,SUCCESS,270.55,2097152.0,131072.0,0.47,484.46,1408.0,8235.9,26213.04,3932.03,96838.83,103.54,119.14,126.02,103.54,46.89,251.52
16384,1024,64,128,128.0,SUCCESS,271.15,2097152.0,131072.0,0.47,483.38,1408.0,8217.54,26443.54,3917.52,97551.5,103.61,119.65,125.91,103.61,46.9,251.8
