Prefill,Decode,Conc,Num Prompts,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
4096,1024,64,256,276.06,1048576.0,262144.0,0.93,952.67,1408.0,4763.32,3233.56,978.22,19036.04,63.95,61.58,74.16,63.95,46.85,169.51
16384,1024,64,128,316.36,2097152.0,131072.0,0.4,414.31,960.0,7043.35,27110.9,4339.19,101729.08,124.22,138.01,148.53,124.22,70.23,273.74
