Prefill,Decode,Conc,Num Prompts,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
4096,1024,64,256,199.74,1048576.0,262144.0,1.28,1314.65,3266.67,6573.22,3387.39,889.28,18993.14,45.29,42.28,57.52,45.29,20.47,152.46
16384,1024,64,128,271.77,2097152.0,131072.0,0.47,482.85,1531.0,8208.44,26191.26,4075.27,96432.38,104.49,117.98,130.34,104.49,43.87,251.08
