Prefill,Decode,Conc,Num Prompts,Successful Requests,Run Status,Benchmark Duration (s),Total Input Tokens,Total Output Tokens,Req/s,Output tok/s,Peak Output tok/s,Total tok/s,Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Mean ITL (ms),Median ITL (ms),P99 ITL (ms)
4096,1024,64,256,256.0,SUCCESS,258.08,1048576.0,262144.0,0.99,1015.75,1408.0,5078.77,3379.73,840.54,20202.98,59.38,61.48,61.67,59.38,46.81,170.49
4096,1024,64,256,256.0,SUCCESS,295.19,1048576.0,262144.0,0.87,888.04,1408.0,4440.19,3300.45,975.88,19218.93,68.56,61.42,80.57,68.56,46.82,168.51
4096,1024,64,256,256.0,SUCCESS,276.18,1048576.0,262144.0,0.93,949.17,1408.0,4745.85,3243.78,976.84,18828.21,63.97,61.74,79.96,63.97,46.84,169.75
4096,1024,64,256,256.0,SUCCESS,256.81,1048576.0,262144.0,1.0,1020.79,1408.0,5103.93,3156.44,981.95,19060.99,59.32,61.57,61.96,59.32,46.88,170.28
16384,1024,64,128,128.0,SUCCESS,317.21,2097152.0,131072.0,0.4,413.2,960.0,7024.44,27201.11,4350.92,102122.57,124.55,138.38,148.98,124.55,70.15,274.92
16384,1024,64,128,128.0,SUCCESS,316.1,2097152.0,131072.0,0.4,414.65,960.0,7049.04,27040.39,4331.45,101522.4,124.17,137.9,148.5,124.17,70.22,272.9
16384,1024,64,128,128.0,SUCCESS,316.58,2097152.0,131072.0,0.4,414.02,960.0,7038.42,27196.73,4335.31,101951.91,124.25,138.09,148.54,124.25,70.23,274.13
16384,1024,64,128,128.0,SUCCESS,316.39,2097152.0,131072.0,0.4,414.27,960.0,7042.59,27095.58,4350.81,101712.94,124.25,138.03,148.55,124.25,70.25,274.2
